# accuracy, cost, lr
7.209999999999999742e-01, 8.204605641098836055e-02, 1.100000000000000006e-01
7.169999999999999707e-01, 7.861369644278639601e-01, 1.100000000000000006e-01
6.550000000000000266e-01, 1.042947021647004258e+00, 1.073170731707317194e-01
7.159999999999999698e-01, 2.616570812441296301e+00, 1.047619047619047644e-01
7.159999999999999698e-01, 2.674717425086629241e+00, 1.023255813953488358e-01
7.149999999999999689e-01, 2.722168241679900902e+00, 9.999999999999999167e-02
7.069999999999999618e-01, 2.762708396835107827e+00, 9.777777777777778290e-02
7.029999999999999583e-01, 2.791252928152743618e+00, 9.565217391304348116e-02
6.949999999999999512e-01, 2.814056741755686097e+00, 9.361702127659574102e-02
6.850000000000000533e-01, 2.831409801453745434e+00, 9.166666666666667407e-02
6.810000000000000497e-01, 2.844650971369001358e+00, 8.979591836734693300e-02
6.800000000000000488e-01, 2.855473053896900648e+00, 8.799999999999999489e-02
6.710000000000000409e-01, 2.864635656461701707e+00, 8.627450980392158131e-02
6.730000000000000426e-01, 2.872307679329801022e+00, 8.461538461538460620e-02
6.450000000000000178e-01, 2.877871626879366929e+00, 8.301886792452831121e-02
6.740000000000000435e-01, 2.878115996128016718e+00, 8.148148148148147418e-02
6.390000000000000124e-01, 2.880687190766916927e+00, 8.000000000000000167e-02
6.700000000000000400e-01, 2.882977297178922704e+00, 7.857142857142858372e-02
6.390000000000000124e-01, 2.884775640416938458e+00, 7.719298245614035492e-02
6.660000000000000364e-01, 2.887029067583502417e+00, 7.586206896551724033e-02
6.380000000000000115e-01, 2.888443272296064901e+00, 7.457627118644066799e-02
6.620000000000000329e-01, 2.890526717852560434e+00, 7.333333333333333370e-02
6.360000000000000098e-01, 2.891734089891627502e+00, 7.213114754098361170e-02
6.620000000000000329e-01, 2.893626278996080714e+00, 7.096774193548387177e-02
6.340000000000000080e-01, 2.894714400981644786e+00, 6.984126984126982907e-02
6.620000000000000329e-01, 2.896430875378525727e+00, 6.874999999999999167e-02
6.350000000000000089e-01, 2.897448326602614976e+00, 6.769230769230769051e-02
6.580000000000000293e-01, 2.899014390796108565e+00, 6.666666666666666574e-02
6.340000000000000080e-01, 2.899990989252008156e+00, 6.567164179104477417e-02
6.580000000000000293e-01, 2.901432246837235773e+00, 6.470588235294116863e-02
6.340000000000000080e-01, 2.902387641189237755e+00, 6.376811594202898281e-02
6.580000000000000293e-01, 2.903726877741351409e+00, 6.285714285714286143e-02
6.380000000000000115e-01, 2.904674359472167566e+00, 6.197183098591549366e-02
6.580000000000000293e-01, 2.905930697030934873e+00, 6.111111111111110911e-02
6.380000000000000115e-01, 2.906878936460441931e+00, 6.027397260273972129e-02
6.580000000000000293e-01, 2.908067764946286715e+00, 5.945945945945945582e-02
6.400000000000000133e-01, 2.909021633458468870e+00, 5.866666666666666557e-02
6.590000000000000302e-01, 2.910154786281186734e+00, 5.789473684210526272e-02
6.400000000000000133e-01, 2.911115818252907772e+00, 5.714285714285714107e-02
