# accuracy, cost, lr
7.209999999999999742e-01, 4.366195669970620447e-03, 1.000000000000000056e-01
6.610000000000000320e-01, 1.679846884590922684e+00, 1.000000000000000056e-01
4.739999999999999769e-01, 2.330924304853992712e+00, 9.661835748792271805e-02
4.979999999999999982e-01, 2.269401370761539027e+00, 9.345794392523364136e-02
5.040000000000000036e-01, 2.482782470497904459e+00, 9.049773755656109753e-02
5.080000000000000071e-01, 2.353207872474272655e+00, 8.771929824561403022e-02
5.200000000000000178e-01, 2.556609184078792119e+00, 8.510638297872340219e-02
6.390000000000000124e-01, 2.376841018193678323e+00, 8.264462809917355601e-02
5.729999999999999538e-01, 2.765246366928908461e+00, 8.032128514056224855e-02
5.869999999999999662e-01, 2.579369455515948761e+00, 7.812500000000000000e-02
6.690000000000000391e-01, 2.658000025217799767e+00, 7.604562737642586723e-02
5.999999999999999778e-01, 2.729392989425782012e+00, 7.407407407407406996e-02
5.620000000000000551e-01, 2.758508437374367794e+00, 7.220216606498194856e-02
6.169999999999999929e-01, 2.669869294614637845e+00, 7.042253521126760896e-02
6.400000000000000133e-01, 2.776889912720247544e+00, 6.872852233676976508e-02
6.830000000000000515e-01, 2.773987317361664928e+00, 6.711409395973154390e-02
6.760000000000000453e-01, 2.842004490337099121e+00, 6.557377049180328210e-02
7.219999999999999751e-01, 2.836798198823430539e+00, 6.410256410256411075e-02
7.029999999999999583e-01, 2.891959856936841433e+00, 6.269592476489027622e-02
7.089999999999999636e-01, 2.885447814589633619e+00, 6.134969325153374203e-02
7.169999999999999707e-01, 2.931144548830193486e+00, 6.006006006006005954e-02
7.129999999999999671e-01, 2.921839671522091564e+00, 5.882352941176470507e-02
6.999999999999999556e-01, 2.955631815210048252e+00, 5.763688760806916223e-02
6.999999999999999556e-01, 2.933154845091591412e+00, 5.649717514124293766e-02
7.289999999999999813e-01, 2.936305876266483761e+00, 5.540166204986149423e-02
6.939999999999999503e-01, 2.954524197729908597e+00, 5.434782608695652023e-02
7.289999999999999813e-01, 2.970781327563039920e+00, 5.333333333333333676e-02
6.999999999999999556e-01, 2.979482559380647544e+00, 5.235602094240837667e-02
7.349999999999999867e-01, 3.001818761116046286e+00, 5.141388174807198091e-02
7.009999999999999565e-01, 2.986706661367173332e+00, 5.050505050505051108e-02
7.419999999999999929e-01, 3.017258763686764489e+00, 4.962779156327543073e-02
7.009999999999999565e-01, 3.020258481975990783e+00, 4.878048780487805741e-02
7.419999999999999929e-01, 3.028279201360632111e+00, 4.796163069544364527e-02
7.069999999999999618e-01, 3.033223961130518731e+00, 4.716981132075472039e-02
7.459999999999999964e-01, 3.041189106401902098e+00, 4.640371229698375677e-02
7.109999999999999654e-01, 3.049864637488417962e+00, 4.566210045662100203e-02
7.359999999999999876e-01, 3.051455067943192212e+00, 4.494382022471909988e-02
7.159999999999999698e-01, 3.062361721983956286e+00, 4.424778761061946841e-02
7.399999999999999911e-01, 3.064315395212537485e+00, 4.357298474945534017e-02
7.149999999999999689e-01, 3.073129195029841831e+00, 4.291845493562231745e-02
7.419999999999999929e-01, 3.075147557599652970e+00, 4.228329809725158567e-02
7.149999999999999689e-01, 3.082835645439586880e+00, 4.166666666666666435e-02
7.479999999999999982e-01, 3.083593714719710999e+00, 4.106776180698151757e-02
7.209999999999999742e-01, 3.091263452207717144e+00, 4.048582995951417046e-02
7.439999999999999947e-01, 3.091275271882959252e+00, 3.992015968063872960e-02
7.239999999999999769e-01, 3.099916975069647140e+00, 3.937007874015747977e-02
7.459999999999999964e-01, 3.098978287198397297e+00, 3.883495145631067624e-02
7.299999999999999822e-01, 3.108227607958714334e+00, 3.831417624521072512e-02
7.500000000000000000e-01, 3.106290916653119627e+00, 3.780718336483931269e-02
7.319999999999999840e-01, 3.115779773536298869e+00, 3.731343283582089221e-02
7.469999999999999973e-01, 3.113019172311239036e+00, 3.683241252302026092e-02
7.299999999999999822e-01, 3.122033256895313080e+00, 3.636363636363636881e-02
7.249999999999999778e-01, 3.192654591709521483e+00, 7.729468599033818832e-02
6.989999999999999547e-01, 2.951351317057117285e+00, 7.476635514018692419e-02
7.179999999999999716e-01, 3.121417922651025911e+00, 7.239819004524888912e-02
6.630000000000000338e-01, 3.156236636852737476e+00, 7.017543859649123805e-02
7.209999999999999742e-01, 3.006046049940588993e+00, 6.808510638297873840e-02
7.439999999999999947e-01, 2.959070628758167398e+00, 6.611570247933885869e-02
7.209999999999999742e-01, 3.183367698068628293e+00, 6.425702811244980717e-02
7.369999999999999885e-01, 3.013409954124952606e+00, 6.250000000000001388e-02
7.429999999999999938e-01, 3.170846943418591746e+00, 6.083650190114069795e-02
7.439999999999999947e-01, 3.070079361747511726e+00, 5.925925925925926846e-02
7.540000000000000036e-01, 3.178496097271165777e+00, 5.776173285198556856e-02
7.059999999999999609e-01, 3.136768729647841258e+00, 5.633802816901409966e-02
7.630000000000000115e-01, 3.162326455741960363e+00, 5.498281786941581345e-02
7.439999999999999947e-01, 3.195408857928162760e+00, 5.369127516778524761e-02
7.429999999999999938e-01, 3.138169787411098532e+00, 5.245901639344263678e-02
7.459999999999999964e-01, 3.187095786806097397e+00, 5.128205128205128721e-02
7.590000000000000080e-01, 3.148999694158395979e+00, 5.015673981191223069e-02
7.560000000000000053e-01, 3.186422976054980705e+00, 4.907975460122700195e-02
7.419999999999999929e-01, 3.169853434311961315e+00, 4.804804804804805457e-02
7.459999999999999964e-01, 3.149853842505384804e+00, 4.705882352941177099e-02
7.730000000000000204e-01, 3.161967433573940944e+00, 4.610951008645533533e-02
7.570000000000000062e-01, 3.194481455828041661e+00, 4.519774011299435706e-02
7.730000000000000204e-01, 3.216165575735808080e+00, 4.432132963988920371e-02
7.600000000000000089e-01, 3.209349045381773458e+00, 4.347826086956522312e-02
7.620000000000000107e-01, 3.223731104511329271e+00, 4.266666666666667218e-02
7.580000000000000071e-01, 3.192732757510310826e+00, 4.188481675392670411e-02
7.620000000000000107e-01, 3.231099735416467222e+00, 4.113110539845758751e-02
7.530000000000000027e-01, 3.187194854720114545e+00, 4.040404040404041441e-02
7.610000000000000098e-01, 3.166628936009693085e+00, 3.970223325062035430e-02
7.319999999999999840e-01, 3.237217220383243443e+00, 3.902439024390245287e-02
7.700000000000000178e-01, 3.167968454390024835e+00, 3.836930455635492732e-02
7.620000000000000107e-01, 3.223209548527082635e+00, 3.773584905660377908e-02
7.610000000000000098e-01, 3.202020939407649092e+00, 3.712296983758701235e-02
7.540000000000000036e-01, 3.223830657347278361e+00, 3.652968036529680163e-02
7.760000000000000231e-01, 3.208285255640862310e+00, 3.595505617977528406e-02
7.550000000000000044e-01, 3.242374505231753634e+00, 3.539823008849558167e-02
7.399999999999999911e-01, 3.226602125973805357e+00, 3.485838779956428046e-02
7.489999999999999991e-01, 3.173815335027777795e+00, 3.433476394849786090e-02
7.640000000000000124e-01, 3.239354596106851947e+00, 3.382663847780126992e-02
7.449999999999999956e-01, 3.238494259584324908e+00, 3.333333333333333287e-02
7.750000000000000222e-01, 3.222154555763803163e+00, 3.285420944558522377e-02
7.690000000000000169e-01, 3.249397638610080019e+00, 3.238866396761133637e-02
7.640000000000000124e-01, 3.258857466082828669e+00, 3.193612774451098230e-02
7.650000000000000133e-01, 3.177831234958427231e+00, 3.149606299212599075e-02
7.449999999999999956e-01, 3.263047913905115394e+00, 3.106796116504854585e-02
7.690000000000000169e-01, 3.242089734866097750e+00, 3.065134099616858426e-02
7.580000000000000071e-01, 3.235087514870966796e+00, 3.024574669187145640e-02
7.600000000000000089e-01, 3.252612315759486172e+00, 2.985074626865671932e-02
7.690000000000000169e-01, 3.183978778730653048e+00, 2.946593001841621429e-02
7.560000000000000053e-01, 3.221291018426595709e+00, 2.909090909090909782e-02
7.670000000000000151e-01, 3.258726482986837425e+00, 2.872531418312388243e-02
7.640000000000000124e-01, 3.238860837462412601e+00, 2.836879432624113753e-02
7.730000000000000204e-01, 3.270162111515122039e+00, 2.802101576182136622e-02
7.580000000000000071e-01, 3.252156931840919807e+00, 2.768166089965398355e-02
7.700000000000000178e-01, 3.246793951761080432e+00, 2.735042735042735387e-02
7.610000000000000098e-01, 3.289087464826677909e+00, 2.702702702702703200e-02
7.670000000000000151e-01, 3.269164910135872848e+00, 2.671118530884808440e-02
7.610000000000000098e-01, 3.261405252961078638e+00, 2.640264026402640643e-02
7.640000000000000124e-01, 3.279820829785247582e+00, 2.610114192495921817e-02
7.580000000000000071e-01, 3.247163841463954981e+00, 2.580645161290322925e-02
7.459999999999999964e-01, 3.293236002099638515e+00, 2.551834130781499566e-02
7.680000000000000160e-01, 3.249312111945767079e+00, 2.523659305993691121e-02
7.600000000000000089e-01, 3.263550146795742180e+00, 2.496099843993760184e-02
7.690000000000000169e-01, 3.283616271259151453e+00, 2.469135802469136012e-02
7.590000000000000080e-01, 3.267857637496174306e+00, 2.442748091603053756e-02
7.720000000000000195e-01, 3.266310282472633997e+00, 2.416918429003021493e-02
7.570000000000000062e-01, 3.280409321410447721e+00, 2.391629297458894299e-02
7.810000000000000275e-01, 3.271918856664120412e+00, 2.366863905325444078e-02
7.680000000000000160e-01, 3.285325425165468438e+00, 2.342606149341142432e-02
7.680000000000000160e-01, 3.291055585655631610e+00, 2.318840579710145303e-02
7.790000000000000258e-01, 3.276645949998164831e+00, 2.295552367288378887e-02
7.610000000000000098e-01, 3.303230114530308015e+00, 2.272727272727272790e-02
7.640000000000000124e-01, 3.278479251152399243e+00, 2.250351617440225424e-02
7.600000000000000089e-01, 3.304338739911856226e+00, 2.228412256267409824e-02
7.740000000000000213e-01, 3.298115514212420774e+00, 2.206896551724138109e-02
7.650000000000000133e-01, 3.292110442029212436e+00, 2.185792349726776301e-02
7.640000000000000124e-01, 3.298739635506580115e+00, 2.165087956698241028e-02
7.740000000000000213e-01, 3.263844196857805802e+00, 2.144772117962466529e-02
7.610000000000000098e-01, 3.323464525427101357e+00, 2.124833997343957698e-02
7.810000000000000275e-01, 3.294348164567765025e+00, 2.105263157894737142e-02
7.710000000000000187e-01, 3.334837772585259152e+00, 2.086049543676662607e-02
7.790000000000000258e-01, 3.289302087571581712e+00, 2.067183462532300176e-02
7.770000000000000240e-01, 3.272510995967399694e+00, 2.048655569782330613e-02
7.790000000000000258e-01, 3.312624769130014801e+00, 2.030456852791878361e-02
7.760000000000000231e-01, 3.308706851669980686e+00, 2.012578616352201505e-02
7.830000000000000293e-01, 3.313617888008474122e+00, 1.995012468827930818e-02
7.710000000000000187e-01, 3.318727194494241139e+00, 1.977750309023486308e-02
7.790000000000000258e-01, 3.317033784323548673e+00, 1.960784313725490516e-02
7.710000000000000187e-01, 3.313627109158657991e+00, 1.944106925880923625e-02
7.780000000000000249e-01, 3.323245217239773730e+00, 1.927710843373494146e-02
7.720000000000000195e-01, 3.332731471963880754e+00, 1.911589008363202141e-02
7.780000000000000249e-01, 3.300560016570582178e+00, 1.895734597156398249e-02
