# accuracy, cost, lr
7.640000000000000124e-01, 3.281780498591230000e+00, 2.985074626865671932e-02
7.560000000000000053e-01, 3.289850747726525082e+00, 2.946593001841621429e-02
7.489999999999999991e-01, 3.251193496004811223e+00, 2.909090909090909782e-02
7.720000000000000195e-01, 3.262757341538771172e+00, 2.872531418312388243e-02
7.710000000000000187e-01, 3.278481981957612312e+00, 2.836879432624113753e-02
7.560000000000000053e-01, 3.293210273584145309e+00, 2.802101576182136622e-02
7.780000000000000249e-01, 3.288520623053649228e+00, 2.768166089965398355e-02
7.760000000000000231e-01, 3.282411042739892704e+00, 2.735042735042735387e-02
7.760000000000000231e-01, 3.301338098512153429e+00, 2.702702702702703200e-02
7.530000000000000027e-01, 3.289451901097370179e+00, 2.671118530884808440e-02
7.840000000000000302e-01, 3.246861070606735566e+00, 2.640264026402640643e-02
7.630000000000000115e-01, 3.282887151605021536e+00, 2.610114192495921817e-02
7.790000000000000258e-01, 3.297598472141430648e+00, 2.580645161290322925e-02
7.700000000000000178e-01, 3.289300833519958278e+00, 2.551834130781499566e-02
7.830000000000000293e-01, 3.296750649708260372e+00, 2.523659305993691121e-02
7.670000000000000151e-01, 3.271184852787033748e+00, 2.496099843993760184e-02
7.810000000000000275e-01, 3.309095872560432916e+00, 2.469135802469136012e-02
7.710000000000000187e-01, 3.290462388434324037e+00, 2.442748091603053756e-02
7.670000000000000151e-01, 3.287877018086562408e+00, 2.416918429003021493e-02
7.750000000000000222e-01, 3.308336032772876134e+00, 2.391629297458894299e-02
7.630000000000000115e-01, 3.302274250117457122e+00, 2.366863905325444078e-02
7.800000000000000266e-01, 3.292993221577138918e+00, 2.342606149341142432e-02
7.740000000000000213e-01, 3.290740334197198358e+00, 2.318840579710145303e-02
7.730000000000000204e-01, 3.316403307087169683e+00, 2.295552367288378887e-02
7.780000000000000249e-01, 3.294920725824587837e+00, 2.272727272727272790e-02
7.790000000000000258e-01, 3.329023540002088666e+00, 2.250351617440225424e-02
7.720000000000000195e-01, 3.293050053503172592e+00, 2.228412256267409824e-02
7.850000000000000311e-01, 3.313210841617578062e+00, 2.206896551724138109e-02
7.620000000000000107e-01, 3.293868053358175452e+00, 2.185792349726776301e-02
7.740000000000000213e-01, 3.306426894941998373e+00, 2.165087956698241028e-02
7.780000000000000249e-01, 3.295408323569545495e+00, 2.144772117962466529e-02
7.880000000000000338e-01, 3.297404442264104230e+00, 2.124833997343957698e-02
7.710000000000000187e-01, 3.299876848756015946e+00, 2.105263157894737142e-02
7.710000000000000187e-01, 3.338444909256819138e+00, 2.086049543676662607e-02
7.630000000000000115e-01, 3.296775153490606236e+00, 2.067183462532300176e-02
7.730000000000000204e-01, 3.307497382534700936e+00, 2.048655569782330613e-02
7.650000000000000133e-01, 3.305940112792336905e+00, 2.030456852791878361e-02
7.780000000000000249e-01, 3.286211363965113819e+00, 2.012578616352201505e-02
7.910000000000000364e-01, 3.313550732549895628e+00, 2.000000000000000042e-02
7.720000000000000195e-01, 3.307984910465254558e+00, 2.000000000000000042e-02
7.830000000000000293e-01, 3.329361129979991230e+00, 2.000000000000000042e-02
7.700000000000000178e-01, 3.334916110271825218e+00, 2.000000000000000042e-02
7.810000000000000275e-01, 3.292288545517086273e+00, 2.000000000000000042e-02
7.690000000000000169e-01, 3.323673531150911131e+00, 2.000000000000000042e-02
7.760000000000000231e-01, 3.294389818148353744e+00, 2.000000000000000042e-02
7.840000000000000302e-01, 3.323969591663236578e+00, 2.000000000000000042e-02
7.840000000000000302e-01, 3.330810593534270225e+00, 2.000000000000000042e-02
7.720000000000000195e-01, 3.315947719398973259e+00, 2.000000000000000042e-02
7.830000000000000293e-01, 3.334796659081422199e+00, 2.000000000000000042e-02
7.770000000000000240e-01, 3.309686785953090293e+00, 2.000000000000000042e-02
7.810000000000000275e-01, 3.343271980138962096e+00, 2.000000000000000042e-02
7.830000000000000293e-01, 3.315945770691563599e+00, 2.000000000000000042e-02
