pIndex, A, f0, decayRate, step, f, accuracy, cost
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,0.000000000000000000e+00,2.000000000000000111e-01,7.670000000000000151e-01,4.782012634988140887e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,1.000000000000000000e+00,2.000000000000000111e-01,7.610000000000000098e-01,4.782350863231960014e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,2.000000000000000000e+00,1.333333333333333315e-01,7.660000000000000142e-01,4.745398138864880822e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,3.000000000000000000e+00,1.000000000000000056e-01,7.650000000000000133e-01,4.769314181432736666e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,4.000000000000000000e+00,8.000000000000000167e-02,7.640000000000000124e-01,4.772110362914089299e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,5.000000000000000000e+00,6.666666666666666574e-02,7.680000000000000160e-01,4.746644454239765665e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,6.000000000000000000e+00,5.714285714285714801e-02,7.680000000000000160e-01,4.751183657871064780e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,7.000000000000000000e+00,5.000000000000000278e-02,7.680000000000000160e-01,4.744760865159695085e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,8.000000000000000000e+00,4.444444444444444614e-02,7.710000000000000187e-01,4.727705571956783981e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,9.000000000000000000e+00,4.000000000000000083e-02,7.710000000000000187e-01,4.733284825367300441e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,1.000000000000000000e+01,3.636363636363636881e-02,7.710000000000000187e-01,4.733335833684689242e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,1.100000000000000000e+01,3.333333333333333287e-02,7.710000000000000187e-01,4.736473082807419743e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,1.200000000000000000e+01,3.076923076923077094e-02,7.700000000000000178e-01,4.727000806192968030e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,1.300000000000000000e+01,2.857142857142857401e-02,7.730000000000000204e-01,4.729523097685853217e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,1.400000000000000000e+01,2.666666666666666838e-02,7.720000000000000195e-01,4.731049920701885236e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,1.500000000000000000e+01,2.500000000000000139e-02,7.700000000000000178e-01,4.729422210198933052e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,1.600000000000000000e+01,2.352941176470588203e-02,7.750000000000000222e-01,4.722918415393434488e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,1.700000000000000000e+01,2.222222222222222307e-02,7.700000000000000178e-01,4.714529462026666451e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,1.800000000000000000e+01,2.105263157894736795e-02,7.710000000000000187e-01,4.705670320358873449e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,1.900000000000000000e+01,2.000000000000000042e-02,7.710000000000000187e-01,4.701304922035440259e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,2.000000000000000000e+01,1.904761904761904934e-02,7.710000000000000187e-01,4.703231969867655016e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,2.100000000000000000e+01,1.818181818181818440e-02,7.720000000000000195e-01,4.699121877515617385e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,2.200000000000000000e+01,1.739130434782608717e-02,7.720000000000000195e-01,4.699202193606057953e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,2.300000000000000000e+01,1.666666666666666644e-02,7.710000000000000187e-01,4.695467825815868856e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,2.400000000000000000e+01,1.600000000000000033e-02,7.720000000000000195e-01,4.694647155037346975e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,2.500000000000000000e+01,1.538461538461538547e-02,7.720000000000000195e-01,4.692759388416707367e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,2.600000000000000000e+01,1.481481481481481538e-02,7.730000000000000204e-01,4.694603129207731151e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,2.700000000000000000e+01,1.428571428571428700e-02,7.720000000000000195e-01,4.690834526414331407e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,2.800000000000000000e+01,1.379310344827586361e-02,7.730000000000000204e-01,4.691211701278009683e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,2.900000000000000000e+01,1.333333333333333419e-02,7.710000000000000187e-01,4.690532430068914960e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,3.000000000000000000e+01,1.290322580645161289e-02,7.720000000000000195e-01,4.691501039063192824e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,3.100000000000000000e+01,1.250000000000000069e-02,7.720000000000000195e-01,4.689240576796411264e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,3.200000000000000000e+01,1.212121212121212120e-02,7.720000000000000195e-01,4.690645294614450012e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,3.300000000000000000e+01,1.176470588235294101e-02,7.730000000000000204e-01,4.689527125625836401e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,3.400000000000000000e+01,1.142857142857142856e-02,7.730000000000000204e-01,4.690808425601923903e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,3.500000000000000000e+01,1.111111111111111154e-02,7.730000000000000204e-01,4.689625044204752125e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,3.600000000000000000e+01,1.081081081081081141e-02,7.730000000000000204e-01,4.690275173194101699e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,3.700000000000000000e+01,1.052631578947368397e-02,7.720000000000000195e-01,4.690475151833952694e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,3.800000000000000000e+01,1.025641025641025640e-02,7.730000000000000204e-01,4.690713611791315629e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,3.900000000000000000e+01,1.000000000000000021e-02,7.720000000000000195e-01,4.690919589650944244e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,4.000000000000000000e+01,9.756097560975609748e-03,7.730000000000000204e-01,4.691257268739585928e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,4.100000000000000000e+01,9.523809523809524669e-03,7.740000000000000213e-01,4.690112013062052165e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,4.200000000000000000e+01,9.302325581395348708e-03,7.730000000000000204e-01,4.691004013148247220e-01
1.190000000000000000e+02,7.525000000000000000e+02,2.000000000000000111e-01,5.000000000000000000e-01,4.300000000000000000e+01,9.090909090909092202e-03,7.720000000000000195e-01,4.690523793367076255e-01
