pIndex, A, f0, decayRate, step, f, accuracy, cost
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,0.000000000000000000e+00,2.000000000000000111e-01,7.670000000000000151e-01,4.782012634988140887e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,1.000000000000000000e+00,2.000000000000000111e-01,7.730000000000000204e-01,4.782350863231960014e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000000e+00,1.904761904761904656e-01,7.640000000000000124e-01,4.708580607491228420e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,3.000000000000000000e+00,1.818181818181818232e-01,7.580000000000000071e-01,4.603227623562308191e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,4.000000000000000000e+00,1.739130434782608925e-01,7.590000000000000080e-01,4.553756657040960443e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,5.000000000000000000e+00,1.666666666666666852e-01,7.630000000000000115e-01,4.483257968317986286e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,6.000000000000000000e+00,1.600000000000000033e-01,7.610000000000000098e-01,4.523154817102997827e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,7.000000000000000000e+00,1.538461538461538547e-01,7.670000000000000151e-01,4.463370468748344422e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,8.000000000000000000e+00,1.481481481481481399e-01,7.600000000000000089e-01,4.502261360603745932e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,9.000000000000000000e+00,1.428571428571428770e-01,7.650000000000000133e-01,4.447177299079906332e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,1.000000000000000000e+01,1.379310344827586188e-01,7.610000000000000098e-01,4.484337730104815400e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,1.100000000000000000e+01,1.333333333333333315e-01,7.660000000000000142e-01,4.433272022486569597e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,1.200000000000000000e+01,1.290322580645161255e-01,7.620000000000000107e-01,4.467989499002407161e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,1.300000000000000000e+01,1.250000000000000000e-01,7.650000000000000133e-01,4.420309897103426588e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,1.400000000000000000e+01,1.212121212121212294e-01,7.640000000000000124e-01,4.452162004284148100e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,1.500000000000000000e+01,1.176470588235294101e-01,7.660000000000000142e-01,4.407304596466582458e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,1.600000000000000000e+01,1.142857142857142960e-01,7.660000000000000142e-01,4.436059503655873093e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,1.700000000000000000e+01,1.111111111111111188e-01,7.670000000000000151e-01,4.393560583376895368e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,1.800000000000000000e+01,1.081081081081081141e-01,7.690000000000000169e-01,4.419115303220576552e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,1.900000000000000000e+01,1.052631578947368501e-01,7.680000000000000160e-01,4.378635297260327075e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,2.000000000000000000e+01,1.025641025641025605e-01,7.720000000000000195e-01,4.400995244158353858e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,2.100000000000000000e+01,1.000000000000000056e-01,7.750000000000000222e-01,4.362335871208038451e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,2.200000000000000000e+01,9.756097560975611482e-02,7.770000000000000240e-01,4.381619151971270498e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,2.300000000000000000e+01,9.523809523809523281e-02,7.760000000000000231e-01,4.344732368772884490e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,2.400000000000000000e+01,9.302325581395347320e-02,7.790000000000000258e-01,4.361175604021508834e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,2.500000000000000000e+01,9.090909090909091161e-02,7.790000000000000258e-01,4.326153560615301763e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,2.600000000000000000e+01,8.888888888888889228e-02,7.810000000000000275e-01,4.340098877880259609e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,2.700000000000000000e+01,8.695652173913044625e-02,7.780000000000000249e-01,4.307135789835786488e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,2.800000000000000000e+01,8.510638297872340219e-02,7.800000000000000266e-01,4.318989882592560448e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,2.900000000000000000e+01,8.333333333333332871e-02,7.810000000000000275e-01,4.288318795457252142e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,3.000000000000000000e+01,8.163265306122448328e-02,7.840000000000000302e-01,4.298492102950770555e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,3.100000000000000000e+01,8.000000000000000167e-02,7.820000000000000284e-01,4.270314786352237824e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,3.200000000000000000e+01,7.843137254901962063e-02,7.850000000000000311e-01,4.279162280104642502e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,5.000000000000000278e-02,3.300000000000000000e+01,7.692307692307692735e-02,7.830000000000000293e-01,4.253597087816737288e-01
