1.000000000000000000e+01,5.000000000000000278e-02,2.000000000000000042e-02
1.000000000000000000e+01,1.625000000000000056e-01,2.000000000000000042e-02
1.000000000000000000e+01,2.750000000000000222e-01,2.000000000000000042e-02
1.000000000000000000e+01,3.875000000000000111e-01,2.000000000000000042e-02
1.000000000000000000e+01,5.000000000000000000e-01,2.000000000000000042e-02
2.575000000000000000e+02,5.000000000000000278e-02,2.000000000000000042e-02
2.575000000000000000e+02,1.625000000000000056e-01,2.000000000000000042e-02
2.575000000000000000e+02,2.750000000000000222e-01,2.000000000000000042e-02
2.575000000000000000e+02,3.875000000000000111e-01,2.000000000000000042e-02
2.575000000000000000e+02,5.000000000000000000e-01,2.000000000000000042e-02
5.050000000000000000e+02,5.000000000000000278e-02,2.000000000000000042e-02
5.050000000000000000e+02,1.625000000000000056e-01,2.000000000000000042e-02
5.050000000000000000e+02,2.750000000000000222e-01,2.000000000000000042e-02
5.050000000000000000e+02,3.875000000000000111e-01,2.000000000000000042e-02
5.050000000000000000e+02,5.000000000000000000e-01,2.000000000000000042e-02
7.525000000000000000e+02,5.000000000000000278e-02,2.000000000000000042e-02
7.525000000000000000e+02,1.625000000000000056e-01,2.000000000000000042e-02
7.525000000000000000e+02,2.750000000000000222e-01,2.000000000000000042e-02
7.525000000000000000e+02,3.875000000000000111e-01,2.000000000000000042e-02
7.525000000000000000e+02,5.000000000000000000e-01,2.000000000000000042e-02
1.000000000000000000e+03,5.000000000000000278e-02,2.000000000000000042e-02
1.000000000000000000e+03,1.625000000000000056e-01,2.000000000000000042e-02
1.000000000000000000e+03,2.750000000000000222e-01,2.000000000000000042e-02
1.000000000000000000e+03,3.875000000000000111e-01,2.000000000000000042e-02
1.000000000000000000e+03,5.000000000000000000e-01,2.000000000000000042e-02
1.000000000000000000e+01,5.000000000000000278e-02,6.500000000000000222e-02
1.000000000000000000e+01,1.625000000000000056e-01,6.500000000000000222e-02
1.000000000000000000e+01,2.750000000000000222e-01,6.500000000000000222e-02
1.000000000000000000e+01,3.875000000000000111e-01,6.500000000000000222e-02
1.000000000000000000e+01,5.000000000000000000e-01,6.500000000000000222e-02
2.575000000000000000e+02,5.000000000000000278e-02,6.500000000000000222e-02
2.575000000000000000e+02,1.625000000000000056e-01,6.500000000000000222e-02
2.575000000000000000e+02,2.750000000000000222e-01,6.500000000000000222e-02
2.575000000000000000e+02,3.875000000000000111e-01,6.500000000000000222e-02
2.575000000000000000e+02,5.000000000000000000e-01,6.500000000000000222e-02
5.050000000000000000e+02,5.000000000000000278e-02,6.500000000000000222e-02
5.050000000000000000e+02,1.625000000000000056e-01,6.500000000000000222e-02
5.050000000000000000e+02,2.750000000000000222e-01,6.500000000000000222e-02
5.050000000000000000e+02,3.875000000000000111e-01,6.500000000000000222e-02
5.050000000000000000e+02,5.000000000000000000e-01,6.500000000000000222e-02
7.525000000000000000e+02,5.000000000000000278e-02,6.500000000000000222e-02
7.525000000000000000e+02,1.625000000000000056e-01,6.500000000000000222e-02
7.525000000000000000e+02,2.750000000000000222e-01,6.500000000000000222e-02
7.525000000000000000e+02,3.875000000000000111e-01,6.500000000000000222e-02
7.525000000000000000e+02,5.000000000000000000e-01,6.500000000000000222e-02
1.000000000000000000e+03,5.000000000000000278e-02,6.500000000000000222e-02
1.000000000000000000e+03,1.625000000000000056e-01,6.500000000000000222e-02
1.000000000000000000e+03,2.750000000000000222e-01,6.500000000000000222e-02
1.000000000000000000e+03,3.875000000000000111e-01,6.500000000000000222e-02
1.000000000000000000e+03,5.000000000000000000e-01,6.500000000000000222e-02
1.000000000000000000e+01,5.000000000000000278e-02,1.100000000000000144e-01
1.000000000000000000e+01,1.625000000000000056e-01,1.100000000000000144e-01
1.000000000000000000e+01,2.750000000000000222e-01,1.100000000000000144e-01
1.000000000000000000e+01,3.875000000000000111e-01,1.100000000000000144e-01
1.000000000000000000e+01,5.000000000000000000e-01,1.100000000000000144e-01
2.575000000000000000e+02,5.000000000000000278e-02,1.100000000000000144e-01
2.575000000000000000e+02,1.625000000000000056e-01,1.100000000000000144e-01
2.575000000000000000e+02,2.750000000000000222e-01,1.100000000000000144e-01
2.575000000000000000e+02,3.875000000000000111e-01,1.100000000000000144e-01
2.575000000000000000e+02,5.000000000000000000e-01,1.100000000000000144e-01
5.050000000000000000e+02,5.000000000000000278e-02,1.100000000000000144e-01
5.050000000000000000e+02,1.625000000000000056e-01,1.100000000000000144e-01
5.050000000000000000e+02,2.750000000000000222e-01,1.100000000000000144e-01
5.050000000000000000e+02,3.875000000000000111e-01,1.100000000000000144e-01
5.050000000000000000e+02,5.000000000000000000e-01,1.100000000000000144e-01
7.525000000000000000e+02,5.000000000000000278e-02,1.100000000000000144e-01
7.525000000000000000e+02,1.625000000000000056e-01,1.100000000000000144e-01
7.525000000000000000e+02,2.750000000000000222e-01,1.100000000000000144e-01
7.525000000000000000e+02,3.875000000000000111e-01,1.100000000000000144e-01
7.525000000000000000e+02,5.000000000000000000e-01,1.100000000000000144e-01
1.000000000000000000e+03,5.000000000000000278e-02,1.100000000000000144e-01
1.000000000000000000e+03,1.625000000000000056e-01,1.100000000000000144e-01
1.000000000000000000e+03,2.750000000000000222e-01,1.100000000000000144e-01
1.000000000000000000e+03,3.875000000000000111e-01,1.100000000000000144e-01
1.000000000000000000e+03,5.000000000000000000e-01,1.100000000000000144e-01
1.000000000000000000e+01,5.000000000000000278e-02,1.549999999999999989e-01
1.000000000000000000e+01,1.625000000000000056e-01,1.549999999999999989e-01
