pIndex, A, f0, decayRate, step, f, accuracy, cost
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.900000000000000000e+01,3.949044585987260964e-02,7.660000000000000142e-01,4.419356492714801576e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,2.000000000000000000e+01,3.792048929663608542e-02,7.650000000000000133e-01,4.414813634223537786e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,2.100000000000000000e+01,3.647058823529411575e-02,7.650000000000000133e-01,4.410364187458825080e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,2.200000000000000000e+01,3.512747875354108040e-02,7.670000000000000151e-01,4.405994181930064646e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,2.300000000000000000e+01,3.387978142076502469e-02,7.670000000000000151e-01,4.401693606731320596e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,2.400000000000000000e+01,3.271767810026384588e-02,7.680000000000000160e-01,4.397455282526862019e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,2.500000000000000000e+01,3.163265306122448745e-02,7.690000000000000169e-01,4.393274230459851548e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,2.600000000000000000e+01,3.061728395061728489e-02,7.690000000000000169e-01,4.389147150180261470e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,2.700000000000000000e+01,2.966507177033492551e-02,7.690000000000000169e-01,4.385072020419040206e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,2.800000000000000000e+01,2.877030162412992989e-02,7.700000000000000178e-01,4.381047786195581550e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,2.900000000000000000e+01,2.792792792792792717e-02,7.710000000000000187e-01,4.377074112716697885e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,3.000000000000000000e+01,2.713347921225382764e-02,7.740000000000000213e-01,4.373151190855907866e-01
