pIndex, A, f0, decayRate, step, f, accuracy, cost
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,0.000000000000000000e+00,2.000000000000000042e-02,7.670000000000000151e-01,4.782012634988140887e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,1.000000000000000000e+00,2.000000000000000042e-02,7.630000000000000115e-01,4.782350863231960014e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,2.000000000000000000e+00,1.904761904761904587e-02,7.630000000000000115e-01,4.774973381699397779e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,3.000000000000000000e+00,1.818181818181818094e-02,7.670000000000000151e-01,4.768949799103880394e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,4.000000000000000000e+00,1.739130434782608717e-02,7.680000000000000160e-01,4.762753403979675948e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,5.000000000000000000e+00,1.666666666666666644e-02,7.670000000000000151e-01,4.756442113942348504e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,6.000000000000000000e+00,1.600000000000000033e-02,7.690000000000000169e-01,4.750065129306381140e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,7.000000000000000000e+00,1.538461538461538373e-02,7.690000000000000169e-01,4.743663509203490669e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,8.000000000000000000e+00,1.481481481481481365e-02,7.710000000000000187e-01,4.737270947003750510e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,9.000000000000000000e+00,1.428571428571428700e-02,7.710000000000000187e-01,4.730914689928800154e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,1.000000000000000000e+01,1.379310344827586361e-02,7.730000000000000204e-01,4.724616514059346017e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,1.100000000000000000e+01,1.333333333333333419e-02,7.740000000000000213e-01,4.718393670495107384e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,1.200000000000000000e+01,1.290322580645161289e-02,7.750000000000000222e-01,4.712259742633009285e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,1.300000000000000000e+01,1.249999999999999896e-02,7.720000000000000195e-01,4.706225382673933089e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,1.400000000000000000e+01,1.212121212121212294e-02,7.720000000000000195e-01,4.700298918679909344e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,1.500000000000000000e+01,1.176470588235294101e-02,7.710000000000000187e-01,4.694486838934465722e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,1.600000000000000000e+01,1.142857142857142856e-02,7.710000000000000187e-01,4.688794168659881634e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,1.700000000000000000e+01,1.111111111111111154e-02,7.690000000000000169e-01,4.683224757265438409e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,1.800000000000000000e+01,1.081081081081080968e-02,7.700000000000000178e-01,4.677781494222078007e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,1.900000000000000000e+01,1.052631578947368571e-02,7.720000000000000195e-01,4.672466469895708574e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,2.000000000000000000e+01,1.025641025641025640e-02,7.720000000000000195e-01,4.667281095213700604e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,2.100000000000000000e+01,1.000000000000000021e-02,7.720000000000000195e-01,4.662226191457284341e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,2.200000000000000000e+01,9.756097560975611482e-03,7.720000000000000195e-01,4.657302059058892052e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,2.300000000000000000e+01,9.523809523809522934e-03,7.700000000000000178e-01,4.652508532165989807e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,2.400000000000000000e+01,9.302325581395346973e-03,7.700000000000000178e-01,4.647845023948018461e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,2.500000000000000000e+01,9.090909090909090468e-03,7.700000000000000178e-01,4.643310566165450570e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,2.600000000000000000e+01,8.888888888888888881e-03,7.690000000000000169e-01,4.638903845363436806e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,2.700000000000000000e+01,8.695652173913043584e-03,7.670000000000000151e-01,4.634623237162248111e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,2.800000000000000000e+01,8.510638297872340566e-03,7.680000000000000160e-01,4.630466839456397476e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,2.900000000000000000e+01,8.333333333333331483e-03,7.680000000000000160e-01,4.626432504866938022e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,3.000000000000000000e+01,8.163265306122447981e-03,7.680000000000000160e-01,4.622517872480913503e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,3.100000000000000000e+01,8.000000000000000167e-03,7.670000000000000151e-01,4.618720398725043585e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,3.200000000000000000e+01,7.843137254901960675e-03,7.670000000000000151e-01,4.615037387127313706e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,3.300000000000000000e+01,7.692307692307691867e-03,7.660000000000000142e-01,4.611466016693263059e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,3.400000000000000000e+01,7.547169811320753909e-03,7.650000000000000133e-01,4.608003368641862552e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,3.500000000000000000e+01,7.407407407407406823e-03,7.650000000000000133e-01,4.604646451290519971e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,3.600000000000000000e+01,7.272727272727272721e-03,7.640000000000000124e-01,4.601392222937240595e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,3.700000000000000000e+01,7.142857142857143501e-03,7.640000000000000124e-01,4.598237612649053174e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,3.800000000000000000e+01,7.017543859649122938e-03,7.630000000000000115e-01,4.595179538925033280e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,3.900000000000000000e+01,6.896551724137930071e-03,7.630000000000000115e-01,4.592214926253191387e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,4.000000000000000000e+01,6.779661016949152345e-03,7.630000000000000115e-01,4.589340719623534182e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,4.100000000000000000e+01,6.666666666666667095e-03,7.620000000000000107e-01,4.586553897092359722e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,4.200000000000000000e+01,6.557377049180327863e-03,7.620000000000000107e-01,4.583851480516733523e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,4.300000000000000000e+01,6.451612903225806446e-03,7.620000000000000107e-01,4.581230544593883902e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,4.400000000000000000e+01,6.349206349206349201e-03,7.620000000000000107e-01,4.578688224348497204e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,4.500000000000000000e+01,6.249999999999999480e-03,7.620000000000000107e-01,4.576221721214299709e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,4.600000000000000000e+01,6.153846153846153841e-03,7.620000000000000107e-01,4.573828307854391761e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,4.700000000000000000e+01,6.060606060606060601e-03,7.620000000000000107e-01,4.571505331860330479e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,4.800000000000000000e+01,5.970149253731343343e-03,7.620000000000000107e-01,4.569250218462423963e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,4.900000000000000000e+01,5.882352941176470507e-03,7.620000000000000107e-01,4.567060472375534808e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,5.000000000000000000e+01,5.797101449275362389e-03,7.620000000000000107e-01,4.564933678894824709e-01
1.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,1.625000000000000056e-01,0.000000000000000000e+00,2.000000000000000042e-02,7.670000000000000151e-01,4.782012634988140887e-01
1.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,1.625000000000000056e-01,1.000000000000000000e+00,2.000000000000000042e-02,7.630000000000000115e-01,4.782350863231960014e-01
1.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,1.625000000000000056e-01,2.000000000000000000e+00,1.720430107526881719e-02,7.630000000000000115e-01,4.774973381699397779e-01
1.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,1.625000000000000056e-01,3.000000000000000000e+00,1.509433962264150955e-02,7.630000000000000115e-01,4.769544103403118296e-01
1.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,1.625000000000000056e-01,4.000000000000000000e+00,1.344537815126050327e-02,7.680000000000000160e-01,4.764452617142438395e-01
1.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,1.625000000000000056e-01,5.000000000000000000e+00,1.212121212121212294e-02,7.680000000000000160e-01,4.759673193947220327e-01
1.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,1.625000000000000056e-01,6.000000000000000000e+00,1.103448275862069054e-02,7.670000000000000151e-01,4.755178291183707606e-01
