pIndex, A, f0, decayRate, step, f, accuracy, cost
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,0.000000000000000000e+00,2.000000000000000042e-02,7.670000000000000151e-01,4.782012634988143662e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,1.000000000000000000e+00,2.000000000000000042e-02,7.630000000000000115e-01,4.783419222240517521e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,2.000000000000000000e+00,1.904761904761904587e-02,7.630000000000000115e-01,4.781798219913123704e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,3.000000000000000000e+00,1.818181818181818094e-02,7.670000000000000151e-01,4.781291240258400133e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,4.000000000000000000e+00,1.739130434782608717e-02,7.680000000000000160e-01,4.780509479015115359e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,5.000000000000000000e+00,1.666666666666666644e-02,7.670000000000000151e-01,4.779491182233414071e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,6.000000000000000000e+00,1.600000000000000033e-02,7.700000000000000178e-01,4.778268775603642382e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,7.000000000000000000e+00,1.538461538461538373e-02,7.700000000000000178e-01,4.776869898736204600e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,8.000000000000000000e+00,1.481481481481481365e-02,7.700000000000000178e-01,4.775318227234092161e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,9.000000000000000000e+00,1.428571428571428700e-02,7.720000000000000195e-01,4.773634132549367526e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,1.000000000000000000e+01,1.379310344827586361e-02,7.730000000000000204e-01,4.771835215905059768e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,1.100000000000000000e+01,1.333333333333333419e-02,7.740000000000000213e-01,4.769936742160866827e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,1.200000000000000000e+01,1.290322580645161289e-02,7.730000000000000204e-01,4.767951996739274723e-01
0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000042e-02,5.000000000000000278e-02,1.300000000000000000e+01,1.249999999999999896e-02,7.730000000000000204e-01,4.765892579355647252e-01
