# accuracy, cost, lr
6.889999999999999458e-01, 2.851633611611081420e+00, 3.773584905660377908e-02
6.979999999999999538e-01, 2.862430255731336803e+00, 3.712296983758701235e-02
6.899999999999999467e-01, 2.877224397072548623e+00, 3.652968036529680163e-02
6.919999999999999485e-01, 2.863999995434591828e+00, 3.595505617977528406e-02
7.009999999999999565e-01, 2.875402225982294446e+00, 3.539823008849558167e-02
6.989999999999999547e-01, 2.888053878276211517e+00, 3.485838779956428046e-02
6.929999999999999494e-01, 2.901834964708426945e+00, 3.433476394849786090e-02
6.919999999999999485e-01, 2.900709798501123426e+00, 3.382663847780126992e-02
6.929999999999999494e-01, 2.906892624333990316e+00, 3.333333333333333287e-02
6.850000000000000533e-01, 2.864018194519919014e+00, 3.285420944558522377e-02
7.119999999999999662e-01, 3.057257020625578470e+00, 3.238866396761133637e-02
7.089999999999999636e-01, 3.068225638215163364e+00, 3.193612774451098230e-02
7.059999999999999609e-01, 3.057976009224876002e+00, 3.149606299212599075e-02
7.069999999999999618e-01, 3.068971537485621237e+00, 3.106796116504854585e-02
7.069999999999999618e-01, 3.074096843792611278e+00, 3.065134099616858426e-02
6.969999999999999529e-01, 3.070482056011929473e+00, 3.024574669187145640e-02
7.089999999999999636e-01, 3.065343809253002760e+00, 2.985074626865671932e-02
7.109999999999999654e-01, 3.080903444323382701e+00, 2.946593001841621429e-02
7.069999999999999618e-01, 3.072042164414258814e+00, 2.909090909090909782e-02
6.810000000000000497e-01, 3.001560183051240838e+00, 2.872531418312388243e-02
7.159999999999999698e-01, 2.975281642501855117e+00, 2.836879432624113753e-02
7.129999999999999671e-01, 2.970904888745950156e+00, 2.802101576182136622e-02
7.169999999999999707e-01, 2.978724180244214370e+00, 2.768166089965398355e-02
7.149999999999999689e-01, 2.978111368407520221e+00, 2.735042735042735387e-02
7.089999999999999636e-01, 2.980160127155258021e+00, 2.702702702702703200e-02
7.169999999999999707e-01, 2.978024865267443921e+00, 2.671118530884808440e-02
7.139999999999999680e-01, 3.004009598866155706e+00, 2.640264026402640643e-02
7.149999999999999689e-01, 2.986434436210952725e+00, 2.610114192495921817e-02
7.199999999999999734e-01, 2.995814546498776210e+00, 2.580645161290322925e-02
6.939999999999999503e-01, 2.953091391066217319e+00, 2.551834130781499566e-02
7.269999999999999796e-01, 3.105655920171952022e+00, 2.523659305993691121e-02
7.269999999999999796e-01, 3.105622636172606477e+00, 2.496099843993760184e-02
7.279999999999999805e-01, 3.102009455497462653e+00, 2.469135802469136012e-02
7.269999999999999796e-01, 3.105770591721082496e+00, 2.442748091603053756e-02
7.239999999999999769e-01, 3.107390615618122354e+00, 2.416918429003021493e-02
7.259999999999999787e-01, 3.097316479361113650e+00, 2.391629297458894299e-02
